%FA,Column diameter(m),Density of Gas (kg/m3),Density of Liquid (kg/m3),Diffusivity (m2/s),Interfacial Area (m2/m3),Liquid height (m),Molecular Weight of gas (kg/kmol),Pressure (kPa),Sparger Encode,Sparger hole diameter (m),Superficial gas velocity (m/s),Surface Tension of Liquid (N/m),Temperature (K),Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Viscosity of Gas (Pa.s),Viscosity of Liquid (Pa.s),Volumetric Mass Transfer Coefficient (1/s),k_L (m/s)
2.703893607,0.316,2.246010745,898,3.56E-09,12.65822785,2.24,28.01,200,8,0.005,0.086722426,0.0288,300,,,,,,1.66E-05,0.00072,0.40098262,0.031677627
0.075577757,0.1455,1.2,1030,2.26E-09,27.49140893,1.1,28.84,101.3,3,0.004,0.055055,0.071,303,,,,,,1.81E-05,0.0010815,0.051398,0.001869602
0.164577778,0.15,1.18,790,3.71E-09,26.66666667,1.8938,28.84,101.3,3,0.0023,0.16,0.0222,293,,,,,,1.67E-05,0.000586,0.10157,0.003808875
0.111111111,0.6,1.2,1015,2.20E-09,6.666666667,1.26,28.84,101.3,2,0.02,0.244113889,0.073,293,,,,,,1.81E-05,0.0011,0.142061111,0.021309167
0.099722992,0.095,1.2,789,2.32E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.031933,0.0221,293,,,,,,1.81E-05,0.001189,0.052761,0.001253074
0.111111111,0.6,1.2,1015,2.20E-09,6.666666667,1.26,28.84,101.3,2,0.02,0.042369444,0.073,293,,,,,,1.81E-05,0.0011,0.051613889,0.007742083
0.16,0.1,1.19,996.45,2.72E-09,40,2,28.84,101.3,2,0.004,0.049405,0.05520055,296,,,,,,1.82E-05,0.0009,0.087592,0.0021898
0.4975,0.1,1.200548,862,1.02E-09,40,1.3,28.84,101.3,3,0.0005,0.28072,0.028,293,,,,,,1.79E-05,0.075,0.0173,0.0004325
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.1188,0.0723,293,,,,,,1.79E-05,0.001,0.11466,0.0108927
0.4975,0.1,1.200548,795,3.69E-09,40,1.59,28.84,101.3,3,0.0005,0.01119,0.028,293,,,,,,1.83E-05,0.0029,0.02034,0.0005085
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.14276,0.029,298,,,,,,1.83E-05,0.026,0.011011,0.000279679
0.111111111,0.6,1.2,1015,2.20E-09,6.666666667,3.5,28.84,101.3,2,0.02,0.013908056,0.073,293,,,,,,1.81E-05,0.0011,0.033175,0.00497625
2.56,0.1,0.0895,890,6.04E-09,40,0.5,2.016,1000,3,0.008,0.038870056,0.0288,298,,,,,,8.95E-06,0.0138,0.025019608,0.00062549
0.05,0.14,1.2,1000,2.50E-09,28.57142857,0.65,28.84,101.3,3,0.0005,0.013480017,0.0723,298,,,,,,1.81E-05,0.000998,0.027876984,0.000975694
0.052930057,0.115,1.15,865,5.03E-09,34.7826087,1.096,28.01,101.3,3,0.001,0.011,0.0283,293,,,,,,1.75E-05,0.00059,0.033934,0.000975602
0.052930057,0.115,1.15,789.45,2.10E-09,34.7826087,1.096,28.01,101.3,3,0.001,0.032,0.022564,293,,,,,,1.75E-05,0.00122,0.052355,0.001505206
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.18212,0.0723,293,,,,,,1.79E-05,0.001,0.12649,0.01201655
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,3.5,28.84,101.3,2,0.04,0.068625,0.073,293,,,,,,1.81E-05,0.0011,0.097797222,0.014669583
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.345,0.0723,293,,,,,,1.79E-05,0.001,0.15516,0.003879
0.099722992,0.095,1.2,1022,1.78E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.029961,0.0645,293,,,,,,1.81E-05,0.0019,0.019018,0.000451677
0.164577778,0.15,1.18,790,3.71E-09,26.66666667,0.66909,28.84,101.3,3,0.0023,0.08,0.0222,293,,,,,,1.67E-05,0.000586,0.089739,0.003365212
2.56,0.1,11.34,890,3.65E-09,40,0.5,28.01,1000,3,0.008,0.038983052,0.0288,298,,,,,,1.80E-05,0.0138,0.040941175,0.001023529
2.703893607,0.316,2.246010745,898,3.56E-09,12.65822785,2.24,28.01,200,8,0.005,0.055794574,0.0288,300,,,,,,1.66E-05,0.00072,0.38219398,0.030193324
0.070644044,0.152,1.2,1015,2.20E-09,26.31578947,1.41,28.84,101.3,2,0.00404,0.011188889,0.073,293,,,,,,1.81E-05,0.0011,0.007210833,0.000274012
0.052930057,0.115,1.15,789.45,2.10E-09,34.7826087,1.096,28.01,101.3,3,0.001,0.053,0.022564,293,,,,,,1.75E-05,0.00122,0.082258716,0.002364938
0.099722992,0.095,1.2,863,3.34E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.045094,0.0284,293,,,,,,1.81E-05,0.00063,0.060996,0.001448655
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.29649,0.0723,293,,,,,,1.79E-05,0.001,0.1367,0.0129865
0.075577757,0.1455,1.2,1230,1.06E-09,27.49140893,1.1,28.84,101.3,3,0.004,0.021025,0.071,303,,,,,,1.81E-05,0.0108486,0.0051015,0.000185567
0.099722992,0.095,1.2,1234,2.87E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.071287,0.0387,293,,,,,,1.81E-05,0.00082,0.11429,0.002714387
0.052930057,0.115,1.15,810,1.04E-09,34.7826087,1.096,28.01,101.3,3,0.001,0.074,0.0243,293,,,,,,1.75E-05,0.0028,0.079547,0.002286976
0.16,0.1,1.19,997.45,2.74E-09,40,2,28.84,101.3,2,0.004,0.028005,0.06414,296,,,,,,1.82E-05,0.00089,0.045269,0.001131725
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.26969,0.0723,293,,,,,,1.79E-05,0.001,0.1306,0.012407
0.052930057,0.115,5.76,810,1.04E-09,34.7826087,1.096,28.01,500,3,0.001,0.032,0.0243,293,,,,,,1.75E-05,0.0028,0.057248,0.00164588
0.4975,0.1,1.200548,763,4.11E-09,40,1.22,28.84,101.3,3,0.0005,0.11551,0.027,293,,,,,,1.79E-05,0.0022,0.11317,0.00282925
0.16,0.1,1.19,996.602,2.71E-09,40,2,28.84,101.3,2,0.004,0.0075216,0.0711,296,,,,,,1.82E-05,0.000908,0.00738,0.0001845
1.69,0.1,1.16,1010,2.81E-09,40,1.3,28.84,101.3,2,0.013,0.106,0.0727,297,,,,,,1.82E-05,0.0009,0.058717996,0.00146795
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,2.07,28.84,101.3,2,0.04,0.315833333,0.073,293,,,,,,1.81E-05,0.0011,0.191202778,0.028680417
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.26052,0.029,298,,,,,,1.83E-05,0.026,0.024045,0.000610743
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.36577,0.029,298,,,,,,1.83E-05,0.026,0.018947,0.000481254
0.16,0.1,1.19,1000,2.50E-09,40,2,28.84,101.3,2,0.004,0.028163,0.0723,296,,,,,,1.82E-05,0.001,0.032578,0.00081445
0.099722992,0.095,1.2,1593,2.59E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.064564,0.0261,293,,,,,,1.81E-05,0.000984,0.077599,0.001842976
0.4975,0.1,1.200548,862,1.02E-09,40,1.3,28.84,101.3,3,0.0005,0.12899,0.028,293,,,,,,1.79E-05,0.075,0.0106,0.000265
0.177285319,0.19,1.2,1178,8.10E-10,21.05263158,1.7,28.84,101.3,7,0.001,0.0328662,0.066,298,,,,,,1.81E-05,0.01368,0.0138995,0.000660226
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.15215,0.029,298,,,,,,1.83E-05,0.026,0.012285,0.000312039
0.099722992,0.095,1.2,1033,2.21E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.022839,0.0322,293,,,,,,1.81E-05,0.001303,0.0394,0.00093575
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.01799,0.0723,293,,,,,,1.79E-05,0.001,0.063345,0.001583625
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.027633,0.029,298,,,,,,1.83E-05,0.026,0.0033708,8.56E-05
0.475373961,0.19,1.2,998,2.20E-09,21.05263158,2.2,28.84,101.3,2,0.0131,0.23337,0.0723,295,,,,,,1.81E-05,0.000961,0.12569,0.005970275
2.703893607,0.316,4.100628501,862,4.90E-09,12.65822785,2.24,28.84,354.63896,8,0.005,0.07,0.0277,300,,,,,,1.81E-05,0.00054,0.28449857,0.022475387
0.027777778,0.6,1.2,1015,2.20E-09,6.666666667,2.06,28.84,101.3,2,0.01,0.078233333,0.073,293,,,,,,1.81E-05,0.0011,0.071508333,0.01072625
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.23729,0.029,298,,,,,,1.83E-05,0.026,0.021723,0.000551764
0.223214286,0.14,1.180052226,997,2.52E-09,28.57142857,1.5,28.84,101.3,3,0.0025,0.0337754,0.0714,298,,,,,,1.81E-05,0.000892,0.04324404,0.001513541
0.177285319,0.19,1.2,1137.4,1.11E-09,21.05263158,1.7,28.84,101.3,7,0.001,0.0438793,0.067,298,,,,,,1.81E-05,0.006598,0.0240079,0.001140375
0.099722992,0.095,1.2,789,2.32E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.072261,0.0221,293,,,,,,1.81E-05,0.001189,0.092229,0.002190439
0.177285319,0.19,1.2,1137.4,1.11E-09,21.05263158,1.7,28.84,101.3,7,0.001,0.0327946,0.067,298,,,,,,1.81E-05,0.006598,0.0232014,0.001102066
1.09,0.162,1.2,1000,2.50E-09,24.69135802,1.49252544,28.84,101.3,3,0.00132,0.09921968,0.0723,298,,,,,,1.81E-05,0.001,0.072196476,0.002923957
0.14,0.2,1.22,1038.75,1.77E-09,20,6.23,28.84,101.3,4,0.001,0.03677,0.072325,289,,,,,,1.78E-05,0.00127625,0.028171,0.00140855
2.615630231,0.1016,17.3,880,2.23E-10,39.37007874,0.7112,28.84,1480,3,0.0015,0.15336,0.029,298,,,,,,1.81E-05,0.026,0.029348,0.000745439
2.615630231,0.1016,33.4,880,2.23E-10,39.37007874,0.7112,28.84,2860,3,0.0015,0.14962,0.029,298,,,,,,1.81E-05,0.026,0.043626,0.0011081
7.610959782,0.158,1.18,1086,2.04E-09,25.3164557,1.5,28.84,101.3,7,0.01,0.12569,0.075,293,,,,,,1.81E-05,0.0015,0.14798,0.00584521
2.615630231,0.1016,9.41,883,1.78E-10,39.37007874,0.7112,28.84,790,3,0.0015,0.037022,0.0305,293,,,,,,1.79E-05,0.032,0.0092551,0.00023508
2.615630231,0.1016,33.4,880,2.23E-10,39.37007874,0.7112,28.84,2860,3,0.0015,0.10935,0.029,298,,,,,,1.81E-05,0.026,0.033116,0.000841146
2.703893607,0.316,7.282914442,900,3.10E-09,12.65822785,2.24,28.01,648.52,8,0.005,0.07,0.0289,300,,,,,,1.66E-05,0.00083,0.50119,0.03959401
0.1,0.162,1.2,1000,2.50E-09,24.69135802,1.75252896,28.84,101.3,4,0.00254,0.020103019,0.0723,298,,,,,,1.81E-05,0.001,0.019825583,0.000802936
2.615630231,0.1016,50.4,883,1.78E-10,39.37007874,0.7112,28.84,4240,3,0.0015,0.15363,0.0305,293,,,,,,1.79E-05,0.032,0.050113,0.00127287
1.69,0.1,1.17,1130,2.30E-09,40,1.3,28.84,101.3,2,0.013,0.10514,0.0759,302,,,,,,1.85E-05,0.000895,0.084321,0.002108025
